"Mag","Depth","Latitude","Longitude","CloserCity","Region","categoryMag","categoryDepth","cluster"
"830",3.3,5.9,0.62,-79.96," Muisne,Esmeraldas","Esmeraldas","3.0 - 3.9","< 60",1
"845",3.9,6.2,0.72,-80.1,"Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"875",4.1,0.7,1.28,-79.99,"Atacames,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"901",3.9,17.5,0.78,-79.78,"Atacames,Esmeraldas","Esmeraldas","3.0 - 3.9","< 60",1
"902",3.9,9.9,1.18,-79.75,"Esmeraldas,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"912",3.7,7.4,0.77,-79.68,"Atacames,Esmeraldas","Esmeraldas","3.0 - 3.9","< 60",1
"933",3.7,47.3,0.74,-79.28,"Esmeraldas,Esmeraldas","Esmeraldas","3.0 - 3.9","< 60",1
"987",3.7,6.6,0.4,-79.88,"Muisne,Esmeraldas","Esmeraldas","3.0 - 3.9","< 60",1
"1012",4,3.3,0.58,-78.67,"Cotacachi,Imbabura","Esmeraldas","4.0 - 4.9","< 60",1
"1013",5.4,3.4,0.6,-78.69,"Cotacachi,Imbabura","Esmeraldas","5.0 - 5.9","< 60",1
"1016",3.5,6.9,0.57,-80.07,"Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"1026",3.7,5.7,0.37,-79.9,"Muisne,Esmeraldas","Esmeraldas","3.0 - 3.9","< 60",1
"1093",3.60388613,6.70734119,0.61,-80.26,"nas","Esmeraldas","3.0 - 3.9","< 60",1
"1112",4.44176992,5,1.5,-80.34,"nas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"1114",3.71092678,0.37837979,0.56,-80.07,"nas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"1152",3.68181421,81.95046997,0.53,-80.08,"nas","Near Coast of Ecuador","3.0 - 3.9","60 - 300",1
"1159",3.58350247,10.19757748,0.52,-80.14,"nas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"1163",3.77294261,3.83179736,0.65,-79.93,"nas","Esmeraldas","3.0 - 3.9","< 60",1
"1164",4.43355922,3.02279782,0.63,-80.14,"nas","Esmeraldas","4.0 - 4.9","< 60",1
"1190",3.96307734,10,0.72,-80.07,"nas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"1191",3.70932543,1.20603359,0.62,-80.26,"nas","Esmeraldas","3.0 - 3.9","< 60",1
"1192",3.86637609,8.87561703,0.59,-80.08,"nas","Esmeraldas","3.0 - 3.9","< 60",1
"1206",4.22994652,3.73651099,0.65,-79.91,"nas","Esmeraldas","4.0 - 4.9","< 60",1
"1207",4.40797731,2.82110405,0.7,-80.05,"nas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"1208",4.01453859,7.62729025,0.67,-80.13,"nas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"1211",4.04764789,5.13772821,0.63,-80.08,"nas","Esmeraldas","4.0 - 4.9","< 60",1
"1212",4.02627592,3.4020226,0.88,-80.13,"nas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"1219",4.82055203,10,0.7,-80.14,"nas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"1242",4.75896385,10,0.64,-79.77,"nas","Esmeraldas","4.0 - 4.9","< 60",1
"1244",4.30376757,5.22247982,0.55,-80.04,"nas","Esmeraldas","4.0 - 4.9","< 60",1
"1245",4.46563419,4.79098177,0.6,-79.94,"nas","Esmeraldas","4.0 - 4.9","< 60",1
"1246",4.43050365,7.16021967,0.51,-79.95,"nas","Esmeraldas","4.0 - 4.9","< 60",1
"1247",4.70935278,12.21029568,0.65,-79.96,"nas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"1249",3.53297143,11.42803764,0.68,-80.14,"nas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"1251",4.21636204,8.34227753,0.72,-80.16,"nas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"1255",3.8862522,1.50701988,0.62,-80.22,"nas","Esmeraldas","3.0 - 3.9","< 60",1
"1256",3.842759,3.5,0.88,-80.05,"nas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"1265",4.00648323,3,0.4,-80.11,"nas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"1272",3.93055251,12.35495758,0.72,-80.1,"nas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"1285",4.49184222,7.98966026,0.46,-80.12,"nas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"1361",3.62322058,6.76248932,0.54,-80.05,"nas","Esmeraldas","3.0 - 3.9","< 60",1
"1362",4.22716635,5.34292221,0.6,-80,"nas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"7",3.7,7.3,-0.12,-80.37," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"8",3.6,10,-0.21,-80.55," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"9",3.7,10,-0.07,-80.74," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"10",4.2,2.7,-0.1,-80.73," Jama,Manabi","Near Coast of Ecuador","4.0 - 4.9","< 60",2
"11",3.8,3.2,-0.09,-80.71," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"12",4.1,10,-0.13,-80.79," Jama,Manabi","Near Coast of Ecuador","4.0 - 4.9","< 60",2
"13",3.1,12,-0.19,-80.36," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"26",3.2,9.2,-0.04,-80.52," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"30",3.9,7.7,-0.25,-80.51," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"46",3.8,2.8,0.69,-80.57," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"50",3.7,10,-0.18,-80.96," Bahia de Caraquez,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"53",3.6,11.1,0.87,-80.25," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"55",5,4.7,0.66,-80.69," Muisne,Esmeraldas","Near Coast of Ecuador","5.0 - 5.9","< 60",2
"56",4,10,0.77,-80.2," Muisne,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",2
"61",3.4,8.7,-0.03,-80.29," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"64",4,10,-0.06,-80.53," Jama,Manabi","Near Coast of Ecuador","4.0 - 4.9","< 60",2
"65",3.5,5.7,-0.29,-80.49," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"74",3.6,10,0.23,-80.35," Pedernales,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"80",3.9,3.7,0.63,-80.5," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"86",3.4,1.7,-0.21,-80.69," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"87",3.6,4.7,-0.12,-80.8," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"95",3.4,7.3,-0.23,-80.77," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"97",3.2,9.7,0.91,-80.46," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"98",3.7,9.5,0.3,-80.32," Pedernales,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"99",3.6,4.3,0.96,-80.43," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"105",3.6,10,0.36,-80.88," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"106",4.3,10,0.35,-80.78," Jama,Manabi","Near Coast of Ecuador","4.0 - 4.9","< 60",2
"107",3.6,16.6,-0.35,-79.66," El Carmen,Manabi","Manabi","3.0 - 3.9","< 60",2
"109",3.4,7.3,0.21,-80.21," Pedernales,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"112",3.5,10,0.53,-80.79," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"113",4.2,4,0.39,-80.4," Muisne,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",2
"116",3.4,10,0.32,-80.65," Pedernales,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"117",3.5,5.3,0.3,-80.09," Pedernales,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"125",3.8,7.9,-0.17,-80.48," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"127",3.3,10,-0.19,-80.61," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"129",3.5,10,0.32,-80.63," Pedernales,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"133",3.5,3.9,-0.14,-80.45," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"135",3.5,10,0.37,-80.84," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"136",4.2,10,0.33,-80.77," Jama,Manabi","Near Coast of Ecuador","4.0 - 4.9","< 60",2
"137",3.9,18.6,0.27,-80.77," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"139",3.6,9.5,-0.16,-80.67," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"141",3.2,2.2,-0.16,-80.69," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"142",3.2,5,-0.23,-80.65," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"151",3.8,2.1,-0.27,-80.55," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"153",3.5,5,-0.53,-80.78," Bahia de Caraquez,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"201",4.2,10,-0.65,-80.95," Manta,Manabi","Near Coast of Ecuador","4.0 - 4.9","< 60",2
"203",3.4,5.2,-0.11,-80.96," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"209",3.2,10.3,-0.11,-80.32," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"210",3.2,9.4,0.75,-80.26," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"211",4.5,5.1,-0.17,-80.98," Bahia de Caraquez,Manabi","Near Coast of Ecuador","4.0 - 4.9","< 60",2
"212",4.6,3.7,-0.18,-80.98," Bahia de Caraquez,Manabi","Near Coast of Ecuador","4.0 - 4.9","< 60",2
"213",3.3,5,-0.12,-80.73," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"215",3.5,12.7,-0.09,-80.33," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"216",3.6,7.9,-0.09,-80.26," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"217",3.6,2.1,-0.1,-80.95," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"219",3,19.8,-0.3,-80.03," Flavio Alfaro,Manabi","Manabi","1.0 - 3.0","< 60",2
"221",3.7,2.9,-0.18,-80.81," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"226",3.7,7.3,-0.03,-80.21," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"229",4.5,10.1,0.34,-80.25," Pedernales,Manabi","Near Coast of Ecuador","4.0 - 4.9","< 60",2
"232",3.7,2.3,0.38,-80.43," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"243",3.1,9.2,-0.04,-80.29," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"244",3.5,8.4,0.76,-80.45," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"245",3.4,20.5,0.77,-80.23," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"246",3.3,9.6,0.72,-80.37," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"247",3.3,2.8,0.81,-80.41," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"248",3.3,5.9,-0.01,-80.23," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"249",3.3,4.4,-0.33,-80.41," Jama,Manabi","Manabi","3.0 - 3.9","< 60",2
"250",3.5,8.5,-0.21,-80.54," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"251",3.4,7.4,0.09,-80.32," Pedernales,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"252",3,27,0.03,-80.14," Pedernales,Manabi","Near Coast of Ecuador","1.0 - 3.0","< 60",2
"254",3.3,8.6,0.4,-80.81," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"255",3.8,26.3,-0.3,-79.7," Flavio Alfaro,Manabi","Manabi","3.0 - 3.9","< 60",2
"256",3.4,6.4,0.38,-80.66," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"257",3.1,10.5,0.34,-80.24," Pedernales,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"258",4.2,13.1,-0.39,-80.32," Jama,Manabi","Manabi","4.0 - 4.9","< 60",2
"259",3.2,5,0.4,-80.41," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"260",3.1,10.4,0.41,-80.61," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"265",4.3,11.9,-0.02,-80.27," Jama,Manabi","Near Coast of Ecuador","4.0 - 4.9","< 60",2
"268",3.5,5,-0.11,-80.71," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"269",3.5,5.6,-0.14,-80.66," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"270",4.3,10,-0.22,-80.65," Jama,Manabi","Near Coast of Ecuador","4.0 - 4.9","< 60",2
"273",3.5,4.6,0.3,-80.6," Pedernales,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"295",3.7,10,-0.18,-80.8," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"296",4.1,10,-0.17,-80.77," Jama,Manabi","Near Coast of Ecuador","4.0 - 4.9","< 60",2
"303",3.7,5.9,0.72,-80.23," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"317",3.9,10,-0.46,-80.89," Bahia de Caraquez,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"324",3.6,9.9,0.71,-80.31," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"325",3.5,8.4,0.68,-80.29," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"332",3.7,6.4,0.66,-80.28," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"333",3.3,11.4,0.47,-80.71," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"334",3.6,11.9,-0.16,-80.71," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"335",3.5,9,0.37,-80.82," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"338",5.3,14,0.34,-80.63," Pedernales,Manabi","Near Coast of Ecuador","5.0 - 5.9","< 60",2
"339",4,12.3,0.41,-80.64," Muisne,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",2
"340",3.6,7,0.32,-80.59," Pedernales,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"341",4.8,11.4,0.28,-80.61," Jama,Manabi","Near Coast of Ecuador","4.0 - 4.9","< 60",2
"342",3.7,19.5,0.44,-80.75," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"352",3.8,10.7,-0.26,-80.69," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"356",4.1,6.9,0.33,-80.26," Pedernales,Manabi","Near Coast of Ecuador","4.0 - 4.9","< 60",2
"367",3.6,8.9,-0.07,-80.27," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"368",3.9,2.1,0.49,-80.87," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"372",3.6,2.7,-0.59,-80.99," Manta,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"384",3.9,6,0.27,-80.26," Pedernales,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"393",4.5,4.9,-0.18,-80.64," Jama,Manabi","Near Coast of Ecuador","4.0 - 4.9","< 60",2
"394",3.7,2.2,-0.17,-80.65," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"426",3.7,5.7,-0.09,-80.49," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"455",3.5,4.4,-0.15,-80.66," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"459",3.6,9.2,0.18,-79.61," Quininde,Esmeraldas","Esmeraldas","3.0 - 3.9","< 60",2
"460",3.7,1.1,-0.15,-80.67," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"461",3.8,2.1,-0.12,-80.83," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"473",3.8,10,0.45,-80.85," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"478",3.5,12,-0.22,-80.83," Bahia de Caraquez,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"519",3.6,7.6,0.14,-80.25," Pedernales,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"529",5.3,7,-0.07,-80.88," Jama,Manabi","Near Coast of Ecuador","5.0 - 5.9","< 60",2
"546",3.8,4.7,-0.14,-80.56," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"547",3.8,4.8,-0.11,-80.52," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"548",3.6,7,-0.17,-80.63," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"553",4.2,4.1,-0.5,-80.84," Bahia de Caraquez,Manabi","Near Coast of Ecuador","4.0 - 4.9","< 60",2
"559",3.8,4.3,0.27,-80.73," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"574",3.5,7.9,0.69,-80.28," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"581",3.8,9.2,-0.14,-80.42," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"613",3.9,10,-0.22,-80.67," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"614",4.1,10,-0.16,-80.7," Jama,Manabi","Near Coast of Ecuador","4.0 - 4.9","< 60",2
"615",3.6,10,-0.22,-80.71," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"624",3.7,7,0.67,-80.24," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"629",3.5,6.5,0.31,-80.19," Pedernales,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"641",3.9,4.9,0.48,-80.65," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"668",3.6,10.9,-0.33,-80.44," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"676",4.1,6.5,0.13,-80.36," Pedernales,Manabi","Near Coast of Ecuador","4.0 - 4.9","< 60",2
"678",4.9,8,-0.18,-80.84," Jama,Manabi","Near Coast of Ecuador","4.0 - 4.9","< 60",2
"680",6.3,9,-0.15,-80.85," Jama,Manabi","Near Coast of Ecuador","6.0 - 6.9","< 60",2
"682",4.5,1.1,-0.12,-80.75," Jama,Manabi","Near Coast of Ecuador","4.0 - 4.9","< 60",2
"684",3.7,10.4,0.02,-80.42," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"685",4.4,8.2,0.47,-80.64," Muisne,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",2
"687",4,9.9,0.35,-80.23," Pedernales,Manabi","Near Coast of Ecuador","4.0 - 4.9","< 60",2
"693",3.8,10,-0.02,-80.99," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"698",3.6,20.4,0.38,-80.99," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"699",3.6,10,-0.06,-80.99," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"700",3.7,2.2,-0.19,-80.78," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"701",4.5,10.5,-0.13,-81," Jama,Manabi","Near Coast of Ecuador","4.0 - 4.9","< 60",2
"708",4.3,6.6,-0.24,-80.7," Jama,Manabi","Near Coast of Ecuador","4.0 - 4.9","< 60",2
"714",3.6,1.9,-0.24,-80.77," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"730",4.4,5,0.3,-80.09," Pedernales,Manabi","Near Coast of Ecuador","4.0 - 4.9","< 60",2
"732",3.8,9,0.73,-80.28," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"733",4.4,10.2,0.73,-80.29," Muisne,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",2
"738",3.7,21.5,-0.14,-80.78," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"739",4.2,7.7,-0.13,-80.72," Jama,Manabi","Near Coast of Ecuador","4.0 - 4.9","< 60",2
"741",3.7,9.7,-0.1,-80.82," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"745",3.5,10,-0.13,-80.71," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"754",3.7,2.2,-0.17,-80.66," Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"768",4,4.2,-0.27,-80.8," Bahia de Caraquez,Manabi","Near Coast of Ecuador","4.0 - 4.9","< 60",2
"769",4,7,-0.08,-80.78," Jama,Manabi","Near Coast of Ecuador","4.0 - 4.9","< 60",2
"813",4.2,24,0.02,-80.09," Pedernales,Manabi","Manabi","4.0 - 4.9","< 60",2
"843",5,9,0.76,-80.2,"Muisne,Esmeraldas","Near Coast of Ecuador","5.0 - 5.9","< 60",2
"844",4.3,11.8,0.82,-80.24,"Muisne,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",2
"899",3.8,5.7,0.05,-80.27,"Pedernales,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"906",3.5,9.7,-0.15,-80.71,"Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"944",4.1,9.5,0.4,-80.53,"Muisne,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",2
"952",4.9,6.7,-0.55,-80.79,"Bahia de Caraquez,Manabi","Near Coast of Ecuador","4.0 - 4.9","< 60",2
"971",4.3,6.3,-0.22,-80.64,"Jama,Manabi","Near Coast of Ecuador","4.0 - 4.9","< 60",2
"972",3.8,5.3,-0.19,-80.66,"Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"974",4.9,4.8,-0.18,-80.66,"Jama,Manabi","Near Coast of Ecuador","4.0 - 4.9","< 60",2
"975",3.8,7.2,-0.16,-80.76,"Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"1004",4.3,4.9,0.31,-80.94,"Jama,Manabi","Near Coast of Ecuador","4.0 - 4.9","< 60",2
"1005",3.8,7,0.35,-80.9,"Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"1009",3.5,10,0.22,-80.67,"Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"1010",3.7,4.7,0.23,-80.67,"Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"1011",3.6,4.2,0.28,-80.89,"Jama,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",2
"1038",5.45892053,22.30558268,0.31,-80.13,"Muisne,Esmeraldas","Manabi","5.0 - 5.9","< 60",2
"1039",4.16999697,5.42705679,-0.05,-80.12,"Pedernales,Manabi","Manabi","4.0 - 4.9","< 60",2
"1040",5.11840116,4.41175747,0.04,-80.23,"Pedernales,Manabi","Near Coast of Ecuador","5.0 - 5.9","< 60",2
